ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13755117,JJ156981,02/21/2025 01:50:00 PM,003XX S HOMAN AVE,0810,THEFT,OVER $500,CTA BUS STOP,false,false,1133,011,28,27,06,1153765,1898461,2025,03/01/2025 03:41:07 PM,41.877212787,-87.710883629,POINT (-87.710883629 41.877212787)
13755022,JJ157013,02/21/2025 01:48:00 PM,003XX S CICERO AVE,0560,ASSAULT,SIMPLE,STREET,true,false,1533,015,28,25,08A,1144455,1897765,2025,03/01/2025 03:41:07 PM,41.875483068,-87.745085159,POINT (-87.745085159 41.875483068)
13755157,JJ157000,02/21/2025 01:48:00 PM,044XX N SHERIDAN RD,0337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,RESTAURANT,true,false,1914,019,46,3,03,1168807,1929475,2025,03/14/2025 03:40:09 PM,41.962004259,-87.654752754,POINT (-87.654752754 41.962004259)
13755316,JJ157428,02/21/2025 01:46:00 PM,006XX N LA SALLE DR,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1832,018,42,8,06,1175023,1904549,2025,03/01/2025 03:41:07 PM,41.893469034,-87.632648229,POINT (-87.632648229 41.893469034)
13754931,JJ156932,02/21/2025 01:43:00 PM,030XX W MARQUETTE RD,2027,NARCOTICS,POSSESS - CRACK,ALLEY,true,false,0831,008,15,66,18,1157119,1860043,2025,03/01/2025 03:41:07 PM,41.771721621,-87.699609116,POINT (-87.699609116 41.771721621)
13756015,JJ158363,02/21/2025 01:40:00 PM,054XX S WINCHESTER AVE,031A,ROBBERY,ARMED - HANDGUN,APARTMENT,false,false,0932,009,16,61,03,1164283,1868519,2025,03/01/2025 03:41:07 PM,41.794833007,-87.673109531,POINT (-87.673109531 41.794833007)
13754933,JJ156948,02/21/2025 01:33:00 PM,117XX S MARSHFIELD AVE,031A,ROBBERY,ARMED - HANDGUN,GROCERY FOOD STORE,false,false,2234,022,21,75,03,1167518,1826850,2025,03/01/2025 03:41:07 PM,41.680418426,-87.662437948,POINT (-87.662437948 41.680418426)
13756504,JJ158135,02/21/2025 01:31:00 PM,005XX W GRENSHAW ST,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,false,false,0124,001,28,28,03,1172722,1895316,2025,03/01/2025 03:41:07 PM,41.868184336,-87.641372316,POINT (-87.641372316 41.868184336)
13756593,JJ158930,02/21/2025 01:30:00 PM,048XX N RAVENSWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2032,020,47,3,05,1163496,1932442,2025,03/01/2025 03:41:07 PM,41.970259586,-87.674195094,POINT (-87.674195094 41.970259586)
13757919,JJ160659,02/21/2025 01:30:00 PM,088XX S WABASH AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0632,006,6,44,06,1178258,1846380,2025,03/01/2025 03:41:07 PM,41.733775211,-87.622534408,POINT (-87.622534408 41.733775211)
13757366,JJ159789,02/21/2025 01:30:00 PM,043XX W MONTROSE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,WAREHOUSE,false,false,1722,017,39,16,14,1146714,1928893,2025,03/01/2025 03:41:07 PM,41.960858577,-87.735994826,POINT (-87.735994826 41.960858577)
13761029,JJ163379,02/21/2025 01:29:00 PM,032XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1924,019,44,6,06,1169868,1921628,2025,03/01/2025 03:41:07 PM,41.94044868,-87.651081589,POINT (-87.651081589 41.94044868)
